step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
425.0,50,8652.0,127.23529411764706,3.192244766824754,50,8652.0,0.11180502901523467,50,8652.0
430.0,50,8902.0,136.95384615384614,2.700488907979998,50,8902.0,0.08061236765834587,50,8902.0
435.0,50,9131.0,134.27941176470588,2.798509874661005,50,9133.0,0.17112208045132607,50,9133.0
440.0,54,9389.0,142.25757575757575,2.1246874633502486,54,9389.0,0.1076671926794656,54,9389.0
445.0,56,9665.0,134.23611111111111,2.1712659170519992,56,9665.0,0.10100210055066672,56,9665.0
450.0,55,9901.0,143.4927536231884,1.8069617537112135,55,9925.0,0.09458135082593806,55,9925.0
455.0,53,10163.0,143.14084507042253,2.3390056427379338,53,10166.0,0.10709885990083119,53,10166.0
460.0,55,10433.0,142.91780821917808,3.098971192405839,55,10433.0,0.0841303990428399,55,10433.0
465.0,55,10708.0,146.68493150684932,2.9984334949418465,55,10708.0,0.12483942283137782,55,10708.0
470.0,56,10984.0,156.9142857142857,2.476882914846447,56,10984.0,0.08656357689043709,56,10984.0
475.0,57,11269.0,163.31884057971016,2.331516983408383,57,11269.0,0.10251609410870395,57,11269.0
480.0,53,11459.0,171.02985074626866,1.4570929892080824,53,11498.0,0.06547160353246421,53,11498.0
485.0,54,11729.0,169.9855072463768,2.4704932821319567,54,11729.0,0.1108835364218472,54,11729.0
490.0,57,12004.0,169.07042253521126,2.245331027212682,57,12004.0,0.08750963277160409,57,12004.0
495.0,55,12246.0,170.08333333333334,1.9446650634190463,55,12269.0,0.08860595037814946,55,12269.0
500.0,54,12510.0,178.71428571428572,2.3444958767301283,54,12516.0,0.1099053231778351,54,12516.0
505.0,55,12781.0,172.71621621621622,3.0898098222693906,55,12781.0,0.11298303858802365,55,12781.0
510.0,56,13061.0,178.91780821917808,2.9582362017395365,56,13061.0,0.11227319578757361,56,13061.0
515.0,58,13343.0,190.61428571428573,2.194764586928691,58,13343.0,0.08878044988401503,58,13343.0
520.0,59,13634.0,194.77142857142857,1.8360053124951001,59,13634.0,0.08615346787180296,59,13634.0
525.0,60,13934.0,199.05714285714285,1.7201639468743926,60,13934.0,0.0777167122109825,60,13934.0
530.0,58,14096.0,195.77777777777777,1.4167181418244335,58,14162.0,0.09573035727664259,58,14162.0
535.0,58,14381.0,199.73611111111111,2.037910186785737,58,14384.0,0.08446543288334717,58,14384.0
540.0,60,14675.0,193.0921052631579,2.2627712860324007,60,14675.0,0.06800769488899791,60,14675.0
545.0,56,14908.0,201.45945945945945,1.8883931906051998,56,14944.0,0.06160772697323074,56,14944.0
550.0,54,15169.0,202.25333333333333,2.770650026851801,54,15178.0,0.10659628414925622,54,15178.0
555.0,56,15444.0,208.7027027027027,3.1068776621928933,56,15444.0,0.08437909369205415,56,15444.0
560.0,56,15724.0,212.48648648648648,3.090508610995116,56,15724.0,0.09352998027378773,56,15724.0
565.0,55,15981.0,228.3,2.3948381398855045,55,15981.0,0.09719909897630294,55,15981.0
570.0,56,16257.0,232.24285714285713,2.095668931968492,56,16257.0,0.08807836625753084,56,16257.0
575.0,59,16549.0,239.84057971014494,1.8991777293475394,59,16549.0,0.05170051835974148,59,16549.0
580.0,55,16791.0,230.013698630137,2.0575949676128946,55,16815.0,0.11699713331237961,55,16815.0
585.0,54,17059.0,236.93055555555554,2.5327346417112033,54,17061.0,0.10508192959933257,54,17061.0
590.0,57,17340.0,225.19480519480518,3.2038425011003566,57,17340.0,0.10149900971249295,57,17340.0
595.0,54,14870.0,206.52777777777777,2.5345937295872636,54,16682.0,0.0958205871740607,54,16682.0
600.0,44,11132.0,154.61111111111111,2.789462575118133,44,15110.0,0.11716626922299492,44,15110.0
605.0,42,8768.0,121.77777777777777,4.163732473536723,42,12832.0,0.16615278153144894,42,12832.0
610.0,29,6626.0,94.65714285714286,3.4562960323229666,29,12980.0,0.1679996516286972,29,12980.0
615.0,31,5784.0,85.05882352941177,3.897903165079135,31,13099.0,0.20099818312027287,31,13099.0
620.0,38,5961.0,80.55405405405405,3.995387162853019,38,13273.0,0.17219834064784306,38,13273.0
625.0,46,6171.0,81.19736842105263,3.200070354194303,46,13483.0,0.12800257924129424,46,13483.0
630.0,53,6423.0,84.51315789473684,2.4508803999946287,53,13736.0,0.10888479056367226,53,13736.0
635.0,61,6710.0,90.67567567567568,1.547689627803358,61,14024.0,0.06469818043711997,61,14024.0
