step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.29697882778172,0,0.0,0.9572356062070213,0,0.0
10.0,0,0.0,0.0,11.582437433820632,0,0.0,0.8401604953657346,0,0.0
15.0,5,10.0,0.5555555555555556,7.414197280420031,5,10.0,0.38915671963178594,5,10.0
20.0,8,49.0,2.7222222222222223,7.509426504241692,8,49.0,0.39643102920775625,8,49.0
25.0,9,90.0,4.285714285714286,6.99621711968891,9,90.0,0.3551274139001453,9,90.0
30.0,10,139.0,6.95,6.755412732782053,10,139.0,0.3599706378058904,10,139.0
35.0,10,189.0,8.590909090909092,6.155196522656329,10,189.0,0.2603160389529245,10,189.0
40.0,10,195.0,7.5,7.089454838641304,10,195.0,0.4513668933330567,10,195.0
45.0,10,245.0,8.448275862068966,7.115555863062798,10,245.0,0.44367751696549335,10,245.0
50.0,13,298.0,10.642857142857142,4.528769674157387,13,298.0,0.2633768075053578,13,298.0
55.0,16,373.0,12.433333333333334,5.559098668520474,16,373.0,0.29397023258955374,16,373.0
60.0,11,247.0,8.233333333333333,5.633922682030822,11,353.0,0.21965641578701192,11,353.0
65.0,10,281.0,9.064516129032258,7.323674532023436,10,297.0,0.3903390429091168,10,297.0
70.0,12,339.0,12.107142857142858,5.425696756593846,12,355.0,0.21395400892620348,12,355.0
75.0,14,407.0,11.305555555555555,7.406508980182551,14,423.0,0.42898393277795904,14,423.0
80.0,15,478.0,14.058823529411764,6.796665630705016,15,494.0,0.392090926706507,15,494.0
85.0,17,559.0,15.108108108108109,5.132974528788447,17,575.0,0.27716247367571023,17,575.0
90.0,18,605.0,18.333333333333332,3.8114374621368765,18,611.0,0.20819464935469373,18,611.0
95.0,21,701.0,19.47222222222222,4.119305864444608,21,701.0,0.15532483443471348,21,701.0
100.0,25,820.0,22.16216216216216,4.0258956329325475,25,820.0,0.17233372821730733,25,820.0
105.0,20,843.0,22.783783783783782,2.4803793851991225,20,898.0,0.13216294621147862,20,898.0
110.0,18,905.0,22.073170731707318,5.766989254058335,18,937.0,0.34086707934050336,18,937.0
115.0,14,460.0,10.69767441860465,5.581021983649984,14,816.0,0.28429840714032595,14,816.0
120.0,11,65.0,1.625,5.436370870317665,11,547.0,0.2404969104963027,11,547.0
125.0,11,78.0,1.8571428571428572,5.116455261136429,11,467.0,0.2214018503858157,11,467.0
130.0,20,160.0,4.0,4.324341201190269,20,549.0,0.1525816952919265,20,549.0
135.0,22,166.0,4.15,3.1780363141196877,22,612.0,0.1319849284469983,22,612.0
140.0,16,147.0,3.8684210526315788,4.068541484251988,16,631.0,0.18702954160879898,16,631.0
145.0,20,218.0,4.954545454545454,4.285660122888245,20,716.0,0.2168252764480358,20,716.0
150.0,25,330.0,7.333333333333333,3.518581113389935,25,828.0,0.26373967609384347,25,828.0
155.0,26,411.0,9.340909090909092,2.220923215443727,26,908.0,0.1588437084368144,26,908.0
160.0,26,480.0,9.6,3.45482648651776,26,950.0,0.1703426894259329,26,950.0
165.0,21,366.0,7.32,3.0642204948308547,21,867.0,0.0881681030612228,21,867.0
170.0,18,138.0,2.6538461538461537,4.23323015457927,18,657.0,0.18940572759084046,18,657.0
175.0,19,179.0,3.6530612244897958,4.495509697306604,19,453.0,0.12671241778036302,19,453.0
180.0,21,210.0,4.285714285714286,4.101824573646528,21,501.0,0.1539546242123457,21,501.0
185.0,21,218.0,4.2745098039215685,4.765525497782178,21,488.0,0.18474661175302012,21,488.0
190.0,18,277.0,5.431372549019608,5.553383984124173,18,522.0,0.2306275511250455,18,522.0
195.0,21,288.0,6.127659574468085,4.043525342737136,21,546.0,0.17791608960229666,21,546.0
200.0,27,410.0,8.91304347826087,2.6074035063861243,27,668.0,0.13953815493248847,27,668.0
205.0,28,517.0,11.0,1.9377364611348118,28,779.0,0.09865568836461726,28,779.0
210.0,25,608.0,12.408163265306122,3.516735832337502,25,849.0,0.18439538587909923,25,849.0
215.0,18,451.0,9.204081632653061,2.820213575229081,18,852.0,0.08397175087866836,18,852.0
220.0,25,519.0,9.267857142857142,4.647436920032015,25,771.0,0.24769332098379732,25,771.0
225.0,24,597.0,10.854545454545455,4.161332891808542,24,859.0,0.18283576935953796,24,859.0
230.0,24,663.0,11.839285714285714,3.97333654351023,24,900.0,0.1648765216395051,24,900.0
235.0,21,443.0,8.358490566037736,3.0291197356111472,21,845.0,0.10314238818357335,21,845.0
240.0,18,117.0,2.207547169811321,4.0595006096197395,18,643.0,0.1770989913349125,18,643.0
245.0,18,125.0,2.4038461538461537,3.305237650763777,18,690.0,0.14935135329165294,18,690.0
250.0,21,179.0,3.4423076923076925,3.4640459878541794,21,731.0,0.1428053683107873,21,731.0
255.0,22,264.0,4.714285714285714,4.782734661284737,22,775.0,0.19349744575824887,22,775.0
260.0,21,315.0,5.7272727272727275,4.983697636981078,21,826.0,0.2762683552082167,21,826.0
265.0,29,445.0,8.39622641509434,2.9411771251647125,29,956.0,0.13591455514476203,29,956.0
270.0,33,572.0,10.592592592592593,2.3441326378451386,33,1093.0,0.12582236349729498,33,1093.0
275.0,31,692.0,13.307692307692308,2.435482772613294,31,1205.0,0.0778378979820657,31,1205.0
280.0,26,606.0,10.448275862068966,4.3066141310854,26,1149.0,0.1968564543322623,26,1149.0
285.0,22,396.0,7.471698113207547,3.745059724750193,22,788.0,0.1233148625307995,22,788.0
290.0,18,359.0,5.983333333333333,5.2761613265406835,18,853.0,0.27989708650629386,18,853.0
295.0,20,411.0,7.086206896551724,5.304335695155796,20,894.0,0.2673784556316568,20,894.0
300.0,20,159.0,2.8392857142857144,3.8333482005301396,20,850.0,0.16377517238850312,20,850.0
305.0,24,197.0,3.581818181818182,4.027434458883336,24,763.0,0.17363354361027383,24,763.0
310.0,28,292.0,5.407407407407407,2.7945179766884913,28,835.0,0.07765034248057046,28,835.0
315.0,28,393.0,7.277777777777778,3.8199855674858503,28,929.0,0.15713524449713084,28,929.0
320.0,22,467.0,8.81132075471698,3.5317195689904994,22,985.0,0.13220047312070177,22,985.0
325.0,31,605.0,11.0,3.8027611550078206,31,1099.0,0.1629720391919233,31,1099.0
330.0,32,720.0,13.584905660377359,2.5031969644023353,32,1224.0,0.11082049032077337,32,1224.0
335.0,28,812.0,15.320754716981131,3.563770696209239,28,1320.0,0.18596776228946033,28,1320.0
