step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
175.0,19,200.0,5.0,4.6680797482310785,19,885.0,0.17069147812209892,19,885.0
180.0,21,287.0,7.756756756756757,4.270790268480502,21,902.0,0.1965978090242644,21,902.0
185.0,20,253.0,6.023809523809524,4.8878967946816365,20,756.0,0.24370789033801163,20,756.0
190.0,15,179.0,4.261904761904762,4.703288682497553,15,484.0,0.2108980657582938,15,484.0
195.0,14,175.0,4.166666666666667,4.444567676544087,14,532.0,0.2176104619033776,14,532.0
200.0,17,213.0,5.195121951219512,4.977071981376378,17,538.0,0.21123559992931415,17,538.0
205.0,21,312.0,7.428571428571429,5.766130240678094,21,618.0,0.19489573819540287,21,618.0
210.0,17,277.0,6.925,4.640476925358944,17,657.0,0.2103765308435069,17,657.0
215.0,20,358.0,10.228571428571428,4.158505060835504,20,667.0,0.17404012376145642,20,667.0
220.0,19,416.0,9.043478260869565,5.53737136313816,19,734.0,0.31399881701285204,19,734.0
225.0,16,485.0,11.022727272727273,6.240719933569167,16,795.0,0.3125604770674128,16,795.0
230.0,21,578.0,12.565217391304348,6.225325771434347,21,874.0,0.2543250522579644,21,874.0
235.0,24,697.0,17.425,5.5589678468378505,24,993.0,0.1899308144264146,24,993.0
240.0,21,633.0,16.23076923076923,3.3634139552883986,21,945.0,0.13341851382008021,21,945.0
245.0,26,757.0,21.02777777777778,3.512439333651954,26,1053.0,0.17655109513544498,26,1053.0
250.0,22,853.0,21.325,3.656185169118122,22,1160.0,0.1780984503277776,22,1160.0
255.0,24,970.0,23.095238095238095,5.151113997155299,24,1266.0,0.2877880995951575,24,1266.0
260.0,18,907.0,19.717391304347824,4.952899734879401,18,1298.0,0.22929371397246356,18,1298.0
265.0,24,991.0,22.522727272727273,5.084491676100056,24,1304.0,0.2191614507559596,24,1304.0
270.0,18,657.0,14.931818181818182,5.018678315431424,18,1136.0,0.23348373323519342,18,1136.0
275.0,13,117.0,2.925,5.248937575025289,13,773.0,0.2163612427893572,13,773.0
280.0,10,43.0,1.0238095238095237,5.20570846807605,10,795.0,0.2717844043647518,10,795.0
285.0,14,87.0,2.289473684210526,5.415912209008738,14,805.0,0.25773457311143727,14,805.0
290.0,18,173.0,3.760869565217391,6.82660768647016,18,885.0,0.355075310799414,18,885.0
295.0,16,183.0,4.159090909090909,6.22583000126748,16,933.0,0.35089841346556744,16,933.0
300.0,21,278.0,6.780487804878049,4.526422054540014,21,990.0,0.19273254730512773,21,990.0
305.0,21,250.0,5.9523809523809526,4.213927258219979,21,869.0,0.17579972664554577,21,869.0
310.0,14,156.0,3.8048780487804876,5.707220269470448,14,574.0,0.2622728854337508,14,574.0
315.0,10,64.0,1.6,5.149751151639341,10,588.0,0.27798946514524375,10,588.0
320.0,12,82.0,2.1025641025641026,5.3987866907607165,12,568.0,0.22776945116818934,12,568.0
325.0,17,159.0,3.7857142857142856,7.01368600948698,17,622.0,0.3351425910193044,17,622.0
330.0,18,248.0,6.2,7.1084147766454775,18,711.0,0.3001966942738373,18,711.0
335.0,18,338.0,8.666666666666666,4.9188073847189235,18,801.0,0.14298055683813798,18,801.0
340.0,24,452.0,12.555555555555555,4.0300800556528715,24,915.0,0.18757342108967218,24,915.0
345.0,19,454.0,13.352941176470589,3.314906480620117,19,969.0,0.2040167074767996,19,969.0
350.0,21,554.0,15.38888888888889,4.5630514582026755,21,1017.0,0.2097188767645265,21,1017.0
355.0,19,434.0,11.128205128205128,4.477768473486884,19,905.0,0.20755320276497335,19,905.0
360.0,11,202.0,5.611111111111111,5.209740715395625,11,623.0,0.22184386046349772,11,623.0
365.0,15,190.0,4.222222222222222,5.988593009644639,15,653.0,0.3331589925384281,15,653.0
370.0,16,245.0,6.282051282051282,4.811349468674326,16,685.0,0.2670636650889669,16,685.0
375.0,24,340.0,7.555555555555555,5.517915652280596,24,761.0,0.21203735944192098,24,761.0
380.0,23,291.0,6.928571428571429,4.749078323460266,23,721.0,0.1768932858098258,23,721.0
385.0,25,410.0,10.0,4.244626094959864,25,831.0,0.20370154306229513,25,831.0
390.0,23,503.0,12.897435897435898,3.734608389868453,23,940.0,0.17268903463829996,23,940.0
395.0,22,610.0,15.64102564102564,3.758081529145337,22,1034.0,0.17756696358246454,22,1034.0
400.0,20,504.0,11.2,5.079438702162369,20,1050.0,0.259205660204965,20,1050.0
405.0,19,551.0,12.244444444444444,4.656761851992482,19,1018.0,0.20360228541625625,19,1018.0
410.0,22,389.0,8.840909090909092,3.8827816489494675,22,892.0,0.1586423595613823,22,892.0
415.0,19,147.0,3.2666666666666666,4.760740785751893,19,627.0,0.21621601543256264,19,627.0
420.0,16,124.0,2.9523809523809526,4.8009489686809115,16,537.0,0.2013568701210197,16,537.0
425.0,16,138.0,3.066666666666667,5.354790694173905,16,557.0,0.22829413321213535,16,557.0
430.0,18,228.0,5.7,5.565090872356423,18,594.0,0.17760384490303446,18,594.0
435.0,15,176.0,3.5918367346938775,6.3970457845021205,15,598.0,0.3369238672015529,15,598.0
440.0,17,212.0,5.0476190476190474,6.304886760856054,17,577.0,0.3382375310789715,17,577.0
445.0,18,258.0,5.608695652173913,4.003373902766196,18,642.0,0.16393724784613706,18,642.0
450.0,22,353.0,8.404761904761905,4.755731085957254,22,725.0,0.2073478114761702,22,725.0
455.0,17,404.0,9.395348837209303,4.552856229441674,17,776.0,0.21002874196647855,17,776.0
460.0,22,505.0,12.023809523809524,4.74565602736776,22,835.0,0.20245016678642136,22,835.0
465.0,22,360.0,8.372093023255815,4.018340473286591,22,734.0,0.1727475964962116,22,734.0
470.0,18,193.0,4.288888888888889,5.634856625105887,18,497.0,0.31254433159028155,18,497.0
475.0,19,186.0,4.2272727272727275,4.473025177404333,19,548.0,0.23623005977236883,19,548.0
480.0,16,173.0,4.119047619047619,3.92366854425283,16,559.0,0.17029452567634393,16,559.0
485.0,20,248.0,5.636363636363637,5.706014739757026,20,576.0,0.2288457554709757,20,576.0
490.0,20,348.0,8.285714285714286,5.829391715035236,20,651.0,0.23039809716124737,20,651.0
495.0,22,455.0,11.375,5.773401090151471,22,741.0,0.2670543286816714,22,741.0
500.0,16,397.0,10.72972972972973,4.84969985753669,16,773.0,0.2328673541011637,16,773.0
505.0,17,461.0,11.525,6.2393390631568195,17,747.0,0.34035095360498835,17,747.0
510.0,16,522.0,12.13953488372093,6.03271531225964,16,818.0,0.36329280894516874,16,818.0
515.0,17,603.0,15.075,5.53211323027986,17,889.0,0.24459935946685937,17,889.0
520.0,22,702.0,17.121951219512194,5.408145874468183,22,988.0,0.18976942905699865,22,988.0
525.0,20,648.0,17.513513513513512,5.029010261673504,20,942.0,0.21166247793509693,20,942.0
530.0,21,749.0,20.243243243243242,3.8812413176326395,21,1035.0,0.17088450119694082,21,1035.0
535.0,22,858.0,23.833333333333332,3.9376067768803846,22,1147.0,0.17725517972380184,22,1147.0
540.0,22,968.0,26.16216216216216,4.341300206325011,22,1254.0,0.1682845032255793,22,1254.0
545.0,18,933.0,22.214285714285715,6.027896414228473,18,1295.0,0.29788595194985157,18,1295.0
550.0,19,1008.0,24.585365853658537,4.601937513571321,19,1303.0,0.19624902979353492,19,1303.0
555.0,20,648.0,16.2,4.1551514215898795,20,1158.0,0.18012933656582097,20,1158.0
560.0,14,108.0,2.6341463414634148,5.0335646772178935,14,785.0,0.23446320583768665,14,785.0
565.0,12,64.0,1.6,4.754508085348685,12,818.0,0.23268032392827773,12,818.0
570.0,16,124.0,3.1794871794871793,5.086129517970357,16,849.0,0.2684016946206884,16,849.0
575.0,16,115.0,3.026315789473684,4.678323975670899,16,879.0,0.15494616413247297,16,879.0
580.0,18,202.0,4.488888888888889,5.689744586790934,18,911.0,0.3163157691688978,18,911.0
585.0,22,306.0,7.285714285714286,5.432247211922861,22,1015.0,0.2690618926527739,22,1015.0
590.0,20,268.0,6.090909090909091,3.515859356447244,20,873.0,0.1648853632209967,20,873.0
595.0,19,190.0,4.75,4.501662416069282,19,518.0,0.20481055767986214,19,518.0
600.0,15,120.0,2.727272727272727,4.78406221290892,15,485.0,0.20754399660077624,15,485.0
605.0,14,92.0,2.1904761904761907,4.895382367982147,14,459.0,0.1759744215086406,14,459.0
610.0,16,170.0,4.0476190476190474,6.250118808629695,16,478.0,0.2657018836986117,16,478.0
615.0,18,254.0,5.7727272727272725,7.208789338105748,18,539.0,0.3465104790431167,18,539.0
620.0,13,235.0,5.465116279069767,6.05003399134846,13,564.0,0.3085996641692276,13,564.0
625.0,21,323.0,8.5,4.750233769393596,21,608.0,0.23034171941318135,21,608.0
630.0,25,439.0,10.707317073170731,4.34953505853466,25,724.0,0.16890229372627708,25,724.0
635.0,21,485.0,13.108108108108109,3.6940551423629553,21,818.0,0.18217018354146342,21,818.0
640.0,17,535.0,13.717948717948717,4.795611746643374,17,855.0,0.2467539179985652,17,855.0
645.0,18,625.0,16.025641025641026,6.436977926294298,18,910.0,0.2555303880461856,18,910.0
650.0,19,717.0,15.933333333333334,7.271122827037845,19,1002.0,0.3775442589571621,19,1002.0
655.0,16,774.0,19.35,5.888802457014977,16,1067.0,0.3226515120708698,16,1067.0
660.0,22,869.0,22.28205128205128,4.627487373286245,22,1154.0,0.18737539722570284,22,1154.0
665.0,22,612.0,15.3,4.046380879712723,22,1015.0,0.1804578658705688,22,1015.0
670.0,12,257.0,6.589743589743589,5.7192652851937265,12,721.0,0.2989503261919666,12,721.0
675.0,9,213.0,5.325,4.915873698039005,9,739.0,0.24032991820867516,9,739.0
680.0,14,269.0,7.27027027027027,4.8728927469397565,14,761.0,0.23625577723953622,14,761.0
685.0,18,354.0,8.428571428571429,6.581516971584146,18,839.0,0.3090661460081771,18,839.0
690.0,20,452.0,11.024390243902438,6.688908230465717,20,937.0,0.2735922453490829,20,937.0
695.0,17,273.0,7.184210526315789,4.2919552514415225,17,825.0,0.1656720931700941,17,825.0
700.0,24,386.0,11.028571428571428,4.012481028671307,24,871.0,0.17501546797054213,24,871.0
705.0,22,486.0,12.789473684210526,3.46371808913329,22,971.0,0.14806207673253344,22,971.0
710.0,24,602.0,16.72222222222222,3.8439761311012637,24,1087.0,0.1788766226534653,24,1087.0
715.0,18,550.0,13.75,4.784518180442897,18,1121.0,0.2271974667258209,18,1121.0
720.0,20,626.0,17.885714285714286,4.604836228497652,20,1127.0,0.18853985001515314,20,1127.0
725.0,18,427.0,9.282608695652174,5.95915471810266,18,967.0,0.32688303680321135,18,967.0
730.0,11,88.0,2.0952380952380953,5.945963958329697,11,536.0,0.2795123505017451,11,536.0
735.0,13,56.0,1.2727272727272727,5.436205671459071,13,467.0,0.26914147440099545,13,467.0
740.0,14,83.0,2.128205128205128,5.025565635621029,14,466.0,0.20822668104622846,14,466.0
745.0,20,170.0,4.0476190476190474,6.0638514846405265,20,531.0,0.2808413843832724,20,531.0
750.0,15,175.0,4.605263157894737,5.41220298033812,15,572.0,0.2219504616795876,15,572.0
755.0,19,261.0,7.054054054054054,5.013813839531134,19,620.0,0.2008395188508586,19,620.0
760.0,17,321.0,8.23076923076923,5.6927781683386325,17,700.0,0.30653980854878843,17,700.0
765.0,16,398.0,10.205128205128204,5.514827991767149,16,760.0,0.2706560032668576,16,760.0
770.0,22,497.0,12.743589743589743,5.698662893222644,22,856.0,0.195052536555673,22,856.0
775.0,22,607.0,15.973684210526315,5.407120975308253,22,966.0,0.21144167632756294,22,966.0
780.0,22,717.0,21.08823529411765,3.898369870478667,22,1076.0,0.14187479489436985,22,1076.0
785.0,24,835.0,23.194444444444443,3.8417100203801593,24,1194.0,0.2067264487233823,24,1194.0
790.0,18,830.0,24.41176470588235,3.5679011461734804,18,1244.0,0.19012956026295288,18,1244.0
