step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
185.0,56,969.0,11.535714285714286,1.6757312190917033,56,2255.0,0.05842492031416047,56,2255.0
190.0,54,907.0,10.797619047619047,2.713446830009487,54,2401.0,0.11192855964051333,54,2401.0
195.0,52,967.0,12.0875,1.9706900225780644,52,2661.0,0.07464128906921554,52,2661.0
200.0,48,1109.0,14.217948717948717,1.2796682482089323,48,2775.0,0.055062922021275204,48,2775.0
205.0,46,1305.0,16.73076923076923,2.1564421760846963,46,2752.0,0.08944932547178319,46,2752.0
210.0,40,1219.0,15.049382716049383,2.4265953611323607,40,2643.0,0.09222804154646769,40,2643.0
215.0,39,949.0,12.166666666666666,2.2231136086110266,39,2452.0,0.08706598794593351,39,2452.0
220.0,37,748.0,9.121951219512194,3.2095378521331646,37,2151.0,0.11655512127276431,37,2151.0
225.0,34,546.0,6.658536585365853,4.096166601913315,34,2048.0,0.20261282001206374,34,2048.0
230.0,35,549.0,6.8625,3.778954001986744,35,1923.0,0.1731923369032132,35,1923.0
235.0,47,760.0,9.382716049382717,3.3943755397490776,47,1909.0,0.13500518111610862,47,1909.0
240.0,52,1012.0,12.65,3.4275618678424578,52,1953.0,0.13872411521208494,52,1953.0
245.0,53,1272.0,15.9,3.389237278080619,53,1974.0,0.1297930845259185,53,1974.0
250.0,50,1217.0,15.602564102564102,2.7372916505318,50,2092.0,0.10353123710320836,50,2092.0
255.0,51,1417.0,17.936708860759495,3.019571121305381,51,2162.0,0.11820803117777381,51,2162.0
260.0,51,1465.0,18.08641975308642,2.7479876536106973,51,2289.0,0.12168418721508029,51,2289.0
265.0,56,1735.0,22.243589743589745,2.9074433217647284,56,2460.0,0.11474264098059717,56,2460.0
270.0,56,1675.0,21.753246753246753,1.7220988360271068,56,2518.0,0.04582898722863276,56,2518.0
275.0,52,1390.0,17.82051282051282,2.068800150462836,52,2377.0,0.08055515769761562,52,2377.0
280.0,45,1056.0,13.037037037037036,2.26776514487223,45,2524.0,0.09254622695897566,45,2524.0
285.0,34,616.0,7.897435897435898,2.1370591746453496,34,2607.0,0.08797425202993514,34,2607.0
290.0,30,292.0,3.5180722891566263,2.310357098318052,30,2524.0,0.09375609799201845,30,2524.0
295.0,26,316.0,3.6744186046511627,3.0680549324702193,26,2284.0,0.13400055795522134,26,2284.0
300.0,23,361.0,4.2976190476190474,3.0207179702381977,23,2342.0,0.14903633806618785,23,2342.0
